actor_id,gdp,year,created,last_updated,datasource_id
OC_ACTOR_10345,44212000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10336,43544000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10340,43431000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10387,42762000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10365,40836000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10278,40588000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10245,39054000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10295,39028000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10328,38280000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10388,31989000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10301,31362000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10354,30568000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10317,29337000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10267,28330000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10325,27594000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10263,27702000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10304,27542000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10327,27025000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10235,26705000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10350,25172000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10337,23681000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10251,22456000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10260,20182000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10210,20136000000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10253,19745000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10382,19698000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10284,18434000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10218,18268000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10342,18464000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10329,18256000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10343,18005000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10287,17873000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10213,17693000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10217,17547000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10285,17156000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10352,16877000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10271,16250000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10265,16104000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10372,15720000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10293,15695000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10280,15106000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10230,14486000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10380,15847000000,2020,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10292,14639000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10393,60043000000,2010,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10258,14839000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10370,14101000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10369,14048000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10313,12945000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10220,12693000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10291,12488000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10303,12098000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10290,11554000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10289,11497000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10288,10091000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10395,9983000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10363,9750000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10390,8416000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10314,8359000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10371,6127000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10281,5900000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10222,5788000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10248,4859000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10392,4669000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10404,4784000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10306,4101000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10273,3900000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10238,3725000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10334,3686000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10330,3302000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10308,3011000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10223,2707000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10221,2676000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
OC_ACTOR_10275,2507000000,2022,2022-10-11,2022-10-11,OC_DATASOURCE_9
