actor_id,area,lat,lng,admin_bound,created,last_updated,datasource_id
OC_ACTOR_155,0,37.8746137,-6.66506,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_156,0,37.2077073,-4.6582006,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_157,0,37.765206,-122.241636,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_158,0,38.65,-7.36,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_159,0,38.78588,-6.244232,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_160,0,37.3601614,-5.9788488,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_161,0,42.295438,13.971105,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_162,0,45.907803,11.9081948,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_163,0,39.4572928,-0.4609799,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_164,0,39.68,39.68,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_165,0,42.324487,1.540233,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_166,0,44.0080109,8.1730265,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_167,0,41.0958608,44.6459522,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_168,0,44.691542,8.025636,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_169,0,42.8343422,13.927816,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_170,0,46.0687385,23.5704398,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_171,0,41.7317684,1.8151935,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_172,0,39.786857,8.861913,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_173,0,38.838669,-0.5181894,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_174,0,45.4196315,8.9374085,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_175,0,39.3956438,-0.415082,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
