actor_id,revenue,revenue_year,employees,sector,market_index
OC_ACTOR_4011,,2020.0,,,NULL
OC_ACTOR_4012,,2015.0,,,NULL
OC_ACTOR_4019,,2020.0,,,NULL
OC_ACTOR_4022,,,,,NULL
OC_ACTOR_4048,,2020.0,,,NULL
OC_ACTOR_4098,,2021.0,,,NULL
OC_ACTOR_4112,,,,,NULL
OC_ACTOR_4128,,2020.0,,,NULL
OC_ACTOR_4199,,2017.0,,,NULL
OC_ACTOR_4249,,,,,NULL
OC_ACTOR_4290,,2020.0,,,NULL
OC_ACTOR_4293,,,,,NULL
OC_ACTOR_4311,,,,,NULL
OC_ACTOR_4327,,,,,NULL
OC_ACTOR_4331,,2020.0,,,NULL
OC_ACTOR_4332,,,,,NULL
OC_ACTOR_4372,,2020.0,,,NULL
OC_ACTOR_4387,,,,,NULL
OC_ACTOR_4388,,,,,NULL
OC_ACTOR_4409,,2021.0,,,NULL
OC_ACTOR_4433,,,,,NULL
OC_ACTOR_4445,,,,,NULL
OC_ACTOR_4447,,2021.0,,,NULL
OC_ACTOR_4460,,2021.0,,,NULL
OC_ACTOR_4462,,,,,NULL
OC_ACTOR_4472,,2018.0,,,NULL
OC_ACTOR_4474,,,,,NULL
OC_ACTOR_4518,,,,,NULL
OC_ACTOR_4547,,,,,NULL
OC_ACTOR_4548,,2021.0,,,NULL
OC_ACTOR_4564,,,,,NULL
OC_ACTOR_4566,,2021.0,,,NULL
OC_ACTOR_4627,,2021.0,,,NULL
OC_ACTOR_4688,,2021.0,,,NULL
OC_ACTOR_4754,,2020.0,,,NULL
OC_ACTOR_4818,,2020.0,,,NULL
OC_ACTOR_4820,,2020.0,,,NULL
OC_ACTOR_4894,,2021.0,,,NULL
OC_ACTOR_4912,,2020.0,,,NULL
OC_ACTOR_4914,,2020.0,,,NULL
OC_ACTOR_4947,,2020.0,,,NULL
OC_ACTOR_4957,,2020.0,,,NULL
OC_ACTOR_5031,,2020.0,,,NULL
OC_ACTOR_5033,,,,,NULL
OC_ACTOR_5065,,2019.0,,,NULL
OC_ACTOR_5084,,2020.0,,,NULL
OC_ACTOR_5099,,,,,NULL
OC_ACTOR_5133,,2021.0,,,NULL
OC_ACTOR_5141,,2020.0,,,NULL
OC_ACTOR_5145,,,,,NULL
OC_ACTOR_5162,,,,,NULL
OC_ACTOR_5177,,2021.0,,,NULL
OC_ACTOR_5208,,,,,NULL
OC_ACTOR_5215,,,,,NULL
OC_ACTOR_5241,,,,,NULL
OC_ACTOR_5330,,,,,NULL
OC_ACTOR_5446,,2021.0,,,NULL
OC_ACTOR_5471,,2020.0,,,NULL
OC_ACTOR_5498,,,,,NULL
OC_ACTOR_5523,,2020.0,,,NULL
OC_ACTOR_5534,,2020.0,,,NULL
OC_ACTOR_5554,,2020.0,,,NULL
OC_ACTOR_5565,,2020.0,,,NULL
OC_ACTOR_5652,,,,,NULL
OC_ACTOR_5696,,,,,NULL
OC_ACTOR_5820,,,,,NULL
OC_ACTOR_5845,,2020.0,,,NULL
OC_ACTOR_5904,,,,,NULL
OC_ACTOR_5947,,,,,NULL
OC_ACTOR_5948,,2019.0,,,NULL
OC_ACTOR_6016,,,,,NULL
OC_ACTOR_6022,,2021.0,,,NULL
OC_ACTOR_6031,,,,,NULL
OC_ACTOR_6036,,2019.0,,,NULL
OC_ACTOR_6041,,,,,NULL
OC_ACTOR_6074,,,,,NULL
OC_ACTOR_6095,,2019.0,,,NULL
OC_ACTOR_6100,,2018.0,,,NULL
