actor_id,population,year,created,last_updated,datasource_id
OC_ACTOR_111,2169,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_112,47729,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_113,257,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_114,34828,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_115,900,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_116,2395,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_117,1001,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_118,1536,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_119,2087,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_120,480,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_121,5023,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_122,1448,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_123,2017,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_124,4050,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_125,200,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_126,120000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_127,49872,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_128,2505,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_129,909,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_130,765,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_131,984,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_132,1384,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_133,1214,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_134,601263,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_135,3808,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_136,8140,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_137,2994,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_138,2456,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_139,28934,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_140,430,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_141,1100,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_142,86,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_143,1030,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_144,201,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_145,252,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_146,40738,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_147,19200,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_148,34154,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_149,2753,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_150,25729,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_151,8600,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_152,69354,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_153,19025,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_154,67,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_155,802,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_156,5426,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_157,75961,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_158,5858,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_159,1971,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_160,1900,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_161,3679,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_162,2881,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_163,29965,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_164,5389,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_165,400,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_166,12000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_167,16400,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_168,31531,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_169,12522,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_170,74000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_171,425,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_172,278,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_173,5987,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_174,4148,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_175,16029,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_176,744,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_177,3485,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_178,3937,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_179,1326,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_180,6519,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_181,1502,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_182,38997,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_183,8075,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_184,97856,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_185,150,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_186,353,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_187,5179,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_188,259,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_189,2090,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_190,11767,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_191,25000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_192,25252,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_193,10826,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_194,99,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_195,11300,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_196,1010,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_197,27880,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_198,1652,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_199,149,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_200,1508,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_201,5216,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_202,25000,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_203,8755,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_204,17807,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_205,2354,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_206,2739,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_207,10485,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_208,745,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_209,18088,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_210,559,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
